time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
2.1350000000000002,0.0,0.48250734894664105,0.42487143842465047,0.4275043003400833,0.17101323605145657,6.471201297332213,6.452735845154143,0.4677926001028981
2.14,0.0,0.48660612920915514,0.425731063866543,0.42950488102277834,0.17326241483857308,6.4679717749568795,6.449503452364593,0.4675643661721237
2.145,0.0,0.49073868555517625,0.42666724581846793,0.43162326863017353,0.175098927549753,6.4647458108247715,6.446270770991148,0.46733845807201735
2.15,0.0,0.4949000231354521,0.4276803915184928,0.43385761578867893,0.1765388687142659,6.461523488053587,6.443037728564299,0.467115140390603
2.1550000000000002,0.0,0.49908537381820584,0.42877073510426444,0.4362057179329042,0.17759931539524798,6.458304888242145,6.439804255063568,0.46689467639474935
2.16,0.0,0.5032901886677673,0.4299383429653677,0.43866504268457207,0.17829808232739006,6.455090091165917,6.436570283150473,0.4666773253980168
2.165,0.0,0.5075101306239165,0.431183119509507,0.44123275906439274,0.17865350485408743,6.45187917448354,6.433335748377899,0.4664633402033901
2.17,0.0,0.511741067377759,0.432504813268903,0.443905766314337,0.1786842473642086,6.448672213454293,6.430100589377205,0.46625296465589844
2.1750000000000003,0.0,0.5159790644400073,0.4339030232802872,0.4466807221416529,0.1784091350509434,6.445469280666646,6.426864748024392,0.46604643133600676
2.18,0.0,0.5202203783975912,0.43537720567832616,0.44955407022650684,0.1778470069400529,6.442270445778165,6.423628169586609,0.46584395942028783
2.185,0.0,0.5244614503545777,0.4369266804482519,0.45252206686252827,0.17701658826083355,6.439075775267128,6.420390802850254,0.465645752731389
2.19,0.0,0.5286988995534313,0.438550638288948,0.4555808066240391,0.17593638035892029,6.435885332196346,6.417152600231853,0.4654519979947971
2.195,0.0,0.5329295171726994,0.4402481475427839,0.45872624697557035,0.17462456647448515,6.432699175989763,6.4139135178728175,0.4652628633154813
2.2,0.0,0.537150260297266,0.4420181611531224,0.46195423175863326,0.17309893183128106,6.429517362222446,6.41067351571912,0.46507849688323505
2.205,0.0,0.5413582460573665,0.44385952361468767,0.4652605135078218,0.17137679660040583,6.4263399424246375,6.40743255758684,0.4648990259115171
2.21,0.0,0.545550745932616,0.4457709778858912,0.4686407745633793,0.16947496041669896,6.423166963900534,6.404190611214438,0.4647245558108544
2.215,0.0,0.549725180217357,0.4477511722358031,0.47209064696054376,0.16740965723475093,6.4199984695624694,6.400947648302557,0.46455516959445975
2.22,0.0,0.5538791126436869,0.4497986670017435,0.47560573108747556,0.16519651941494512,6.41683449778112,6.397703644542062,0.46439092751066036
2.225,0.0,0.5580102451585855,0.45191194123648193,0.47918161311352486,0.16285055002745602,6.413675082252326,6.39445857963096,0.46423186689404605
2.23,0.0,0.5621164128516123,0.4540893992267844,0.48281388119816815,0.16038610245341417,6.410520251881048,6.39121243728079,0.46407800222493345
2.235,0.0,0.5661955790297064,0.45632937686756386,0.48649814049827467,0.15781686644736737,6.407370030682885,6.387965205212993,0.46392932538480536
2.24,0.0,0.5702458304356721,0.4586301478781857,0.4902300269975825,0.15515585990374758,6.404224437703521,6.38471687514576,0.46378580609381204
2.245,0.0,0.574265372606991,0.4609899298495673,0.4940052201874865,0.1524154256423521,6.401083486956318,6.381467442771775,0.46364739251519993
2.25,0.0,0.5782525253716583,0.46340689011261604,0.49781945463257854,0.149607232594063,6.397947187378222,6.378216907727245,0.46351401201064435
2.255,0.0,0.5822057184777949,0.4658791514202728,0.5016685304579291,0.14674228082840035,6.394815542803987,6.374965273552621,0.4633855720298826
2.2600000000000002,0.0,0.5861234873538425,0.46840479743699787,0.505548322797947,0.14383090991931552,6.3916885519586435,6.371712547645322,0.4632619611177502
2.265,0.0,0.5900044689962045,0.47098187803094843,0.5094547902488826,0.14088281019526416,6.3885662084680055,6.368458741204813,0.4631430500216829
2.27,0.0,0.5938473979812515,0.4736084143653797,0.5133839823687208,0.13790703646439123,6.385448500886906,6.365203869170363,0.4630286928829426
2.275,0.0,0.5976511025986612,0.476282403786951,0.5173320462694058,0.13491202384598527,6.382335412744753,6.361947950151793,0.4629187284952169
2.2800000000000002,0.0,0.6014145011031214,0.47900182450965567,0.5212952323471121,0.13190560537567148,6.379226922607876,6.358691006353521,0.46281298161480944
2.285,0.0,0.6051365980814762,0.48176464009401937,0.5252698991966723,0.12889503108443,6.37612300415806,6.355433063492242,0.46271126430735465
2.29,0.0,0.6088164809324481,0.4845688037220428,0.5292525177563429,0.12588698828084577,6.373023626286564,6.352174150708538,0.462613377316822
2.295,0.0,0.6124533164561254,0.48741226226909906,0.5332396747288708,0.12288762279241161,6.369928753202847,6.348914300472755,0.462519111443505
2.3000000000000003,0.0,0.616046347550454,0.49029296017465307,0.5372280753243612,0.11990256094548801,6.366838344557159,6.345653548485482,0.4624282489186926
2.305,0.0,0.6195948900120257,0.4932088431142451,0.541214545369759,0.11693693208504952,6.363752355576086,6.342391933572968,0.4623405647647707
2.31,0.0,0.6230983294385093,0.49615786147568863,0.5451960328288911,0.1139953914548309,6.360670737210094,6.339129497577822,0.46225582813058447
2.315,0.0,0.6265561182301178,0.4991379736428739,0.5491696087759855,0.11108214327626253,6.357593436292086,6.335866285245364,0.4621738035929882
2.32,0.0,0.6299677726875619,0.5021471490909523,0.5531324678644157,0.1082009638808053,6.354520395705932,6.332602344105989,0.4620942524166002
2.325,0.0,0.6333328702039837,0.5051833712970054,0.5570819283311366,0.10535522476515935,6.351451554563942,6.3293377243539055,0.4620169337648565
2.33,0.0,0.6366510465484212,0.5082446404705818,0.5610154315759024,0.10254791545262543,6.3483868483922095,6.326072478722656,0.4619416058565053
2.335,0.0,0.639921993238398,0.5113289761087201,0.5649305413528988,0.09978166605652095,6.345326209322779,6.322806662357767,0.46186802706268937
2.34,0.0,0.6431454549992853,0.5144344193802709,0.5688249426109018,0.09705876945347658,6.3422695662915745,6.3195403326869455,0.4617959569407276
2.345,0.0,0.6463212273081289,0.5175590353444863,0.5726964400165119,0.094381202985373,6.339216845241056,6.316273549288201,0.4617251572016121
2.35,0.0,0.6494491540196837,0.5207009150089682,0.5765429561934068,0.09175064961903928,6.336167969326577,6.31300637375628,0.4616553926090864
2.355,0.0,0.6525291250724451,0.5238581772321605,0.5803625297089322,0.08916851850248636,6.333122859125449,6.3097388695677985,0.461586431808956
2.36,0.0,0.6555610742725104,0.5270289704756346,0.5841533128377127,0.0866359648654601,6.330081432847766,6.306471101945474,0.4615180480880031
2.365,0.0,0.6585449771531545,0.530211474411455,0.5879135691303244,0.0841539092206483,6.327043606548039,6.30320313772181,0.4614500200625318
2.37,0.0,0.6614808489080438,0.5334039013899349,0.5916416708134397,0.08172305582976314,6.324009294336788,6.299935045202629,0.46138213229715697
2.375,0.0,0.6643687423960623,0.5366044977730821,0.5953360960462324,0.07934391040621203,6.320978408591234,6.296666894030797,0.4613141758549753
2.38,0.0,0.6672087462157629,0.5398115451390212,0.5989954260562406,0.07701679703299258,6.317950860164309,6.293398755050512,0.4612459487807097
2.3850000000000002,0.0,0.6700009828475059,0.5430233613626376,0.6026183421763126,0.07474187428087675,6.314926558591252,6.2901307001724795,0.46117725651881825
2.39,0.0,0.6727456068613837,0.5462383015776393,0.6062036228027313,0.07251915051797919,6.311905412293091,6.28686280224032,0.4611079122688928
2.395,0.0,0.6754428031890786,0.5494547590251694,0.6097501402931171,0.07034849840726592,6.308887328776396,6.283595134898506,0.46103773728095054
2.4,0.0,0.6780927854578375,0.5526711657940282,0.6132568578212637,0.06822966859362889,6.305872214828714,6.280327772462145,0.4609665610934502
2.4050000000000002,0.0,0.6806957943847921,0.555885993457478,0.6167228262046566,0.0661623025867406,6.302859976709159,6.277060789788874,0.4608942217170391
2.41,0.0,0.6832520962298911,0.5590977536115139,0.6201471807190777,0.06414594485006009,6.299850520333699,6.273794262153148,0.4608205657671695
2.415,0.0,0.6857619813057514,0.5623049983193817,0.6235291379134043,0.06218005411003813,6.296843751454709,6.270528265123153,0.4607454485488108
2.42,0.0,0.688225762542774,0.5655063204670213,0.6268679924364682,0.0602640139029047,6.293839575834432,6.2672628744405925,0.46066873409653486
2.4250000000000003,0.0,0.6906437741079112,0.5687003540339991,0.6301631138866659,0.058397142379248645,6.290837899412027,6.2639981659035415,0.46059029517327077
2.43,0.0,0.6930163700755053,0.5718857742843829,0.633413943693883,0.0565787013891102,6.287838628463948,6.260734215252579,0.46051001323100904
